Unnamed__0,Incident,RMSOccurrenceDate,RMSOccurrenceHour,NIBRSClass,NIBRSDescription,OffenseCount,Beat,Premise,StreetNo,StreetName,StreetType,Suffix,City,ZIPCode,MapLongitude,MapLatitude
37420,27033823,2023-02-23,17,23C,Shoplifting,1,18F20,Shopping Mall,5015,WESTHEIMER,RD,,HOUSTON,77056,-95.461529,29.740801
222516,162906923,2023-11-13,11,13C,Intimidation,2,1A30,Speciality Store,2505,DUNLAVY,ST,,HOUSTON,77006,-95.402072,29.743639
93176,835357323,2023-05-12,3,13B,Simple assault,1,24C40,"Highway, Road, Street, Alley",113,OLD ATASCOCITA,RD,,HOUSTON,77336,-95.114622,30.004171
32709,23460223,2023-02-16,16,90J,Trespass of real property,1,22B30,"Other, Unknown",11022,AIRLINE,DR,,HOUSTON,77060,-95.405232,29.915714
77842,55991623,2023-04-21,9,90Z,All other offenses,1,18F20,"Residence, Home (Includes Apartment)",5301,BEVERLY HILL,ST,,HOUSTON,77056,-95.468343,29.730135
42527,35081023,2023-03-02,2,240,Motor vehicle theft,1,2A20,"Parking Lot, Garage",4818,ELSER,ST,,HOUSTON,77009,-95.358239,29.803591
221293,161727923,2023-11-11,18,120,Robbery,1,22B10,"Parking Lot, Garage",6910,FM 1960,RD,W,HOUSTON,77069,-95.531283,29.969708
231017,168464823,2023-11-26,7,220,"Burglary, Breaking and Entering",1,1A20,"Residence, Home (Includes Apartment)",707,SAULNIER,,,HOUSTON,77019,-95.375288,29.757072
244851,179218923,2023-12-17,21,13A,Aggravated Assault,1,19G50,"Highway, Road, Street, Alley",12700,SAM HOUSTON,PKWY,W,HOUSTON,77099,-95.558577,29.661169
254056,185759823,2023-12-31,17,13B,Simple assault,1,6B20,"Hotel, Motel, ETC",6009,NORTH,FWY,,HOUSTON,77076,-95.398506,29.852965
159400,115092623,2023-08-12,18,35A,"Drug, narcotic violations",1,4F30,"Highway, Road, Street, Alley",11038,KATY,FWY,,HOUSTON,77043,-95.575645,29.785242
25186,18302623,2023-02-06,16,13C,Intimidation,1,17E10,"Residence, Home (Includes Apartment)",5919,GLENMONT,DR,,HOUSTON,77081,-95.485546,29.720034
112068,84627923,2023-06-07,12,23H,All other larceny,1,18F20,"Residence, Home (Includes Apartment)",1750,SKY LARK,LN,,HOUSTON,77056,-95.463832,29.749393
46070,32993723,2023-03-07,12,13A,Aggravated Assault,1,6B40,"Highway, Road, Street, Alley",8399,NORTH,FWY,,HOUSTON,77088,-95.412358,29.883054
121970,87839223,2023-06-21,1,13A,Aggravated Assault,1,10H20,"Parking Lot, Garage",4000,POLK,,,HOUSTON,77023,-95.339878,29.740244
61157,45463023,2023-03-29,20,23C,Shoplifting,1,12D70,Liquor Store,18740,GULF,FWY,,HOUSTON,77546,-95.150046,29.548674
37515,27139323,2023-02-23,20,23F,Theft from motor vehicle,1,1A20,"Highway, Road, Street, Alley",1800,ALLEN,PKWY,,HOUSTON,77019,-95.385669,29.761342
97681,70202823,2023-05-18,0,26B,"Credit card, ATM fraud",1,8C20,"Residence, Home (Includes Apartment)",7433,TOUCHSTONE,ST,,HOUSTON,77028,-95.295237,29.838504
130957,94377023,2023-07-03,17,35A,"Drug, narcotic violations",1,21I10,"Airplane, Bus,Train Terminal",2800,TERMINAL,RD,N,HOUSTON,77032,-95.35243,29.987347
53454,41830823,2023-03-18,2,23F,Theft from motor vehicle,1,19G10,"Residence, Home (Includes Apartment)",9502,WOODFAIR,DR,,HOUSTON,77036,-95.553521,29.677346
162441,117608923,2023-08-17,12,13C,Intimidation,1,18F50,"Residence, Home (Includes Apartment)",5959,BONHOMME,RD,,HOUSTON,77036,-95.513654,29.71596
51617,38094723,2023-03-15,6,220,"Burglary, Breaking and Entering",1,2A20,"Residence, Home (Includes Apartment)",107,KELLEY,ST,,HOUSTON,77009,-95.369498,29.813046
219344,161152023,2023-11-08,21,240,Motor vehicle theft,1,2A60,Park/Playground,1640,T C JESTER,BLVD,E,HOUSTON,77008,-95.424236,29.800278
181140,131911123,2023-09-13,12,23C,Shoplifting,1,12D10,Speciality Store,11560,GULF,FWY,,HOUSTON,77034,-95.231044,29.629323
68340,49245123,2023-04-08,5,13A,Aggravated Assault,1,11H50,"Bar, Nightclub",9261,GULF,FWY,,HOUSTON,77017,-95.252601,29.655109
